Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.946911,159.051093,159.645056,160.402114,161.181895,161.888511,162.756744,163.690986,164.594485,165.337447,166.093056,166.897579,167.62142,168.42387,169.378369,170.386545,171.260347,171.934317,172.48503,173.135734,173.641319,172.617151,172.168524,172.0295,171.95965,171.887175,172.319515,173.0645,173.493816,173.866257,173.833865,173.863095,173.830369,173.665378,173.584268,173.731441,174.172265,174.327127,174.553678,174.805707,175.174145,175.607576,176.024469,175.925254,175.798164,175.863279,176.118608,176.022541,176.287074,176.221121,176.270634,176.157651,176.139575,176.269361,176.072079,175.669431,175.170555,175.181554,175.172322,174.958939,174.760287,174.186645,173.788292,173.415608,173.369611,173.298328,173.46461,173.569805,173.522953,173.388761,173.201757,172.997622,172.92941,172.832665,172.689773,172.797536,172.736964,172.58235,172.425239,172.047321,171.860837,171.841267,171.575365,171.42588,171.271246,171.155841,171.061006,170.952069,170.954337
KWH,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131591.4695,131668.2266,133280.7448,131079.2403,128347.5998,125888.2923,123625.1729,119586.734,115582.144,109846.5791,106416.144,100017.1297,95049.10059,93458.86744,89700.94971,85819.35338,82790.88566,80598.08822,77914.71813,74869.1332,72295.63044,70857.1118,70993.07599,68614.34122,66892.93251,65266.44513,64126.58332,62426.88704,61779.70068,61545.74967,59220.95336,56800.79317,54647.98026,53595.20203,54007.99158,52406.68447,50799.35993,49872.47242,49893.06,47950.33246,46285.51795,45431.32663,45443.37345,43906.36949,43095.85051,42958.62292,41630.72872,41408.79078,40495.29931,40899.26574,39727.50027,40148.24218,39319.47771,39207.4712,37268.09515,36670.64077,36424.03302,35370.19993,34315.95438,33590.47005,34057.2108,32556.98884,31644.60141,30384.12927,29045.63189,28225.38618,28316.90347,29569.66316,28806.12444,28943.09049,30116.94916,28521.20376,27987.31099,26920.18052,25737.07228,24713.43579,23571.3752,22692.09374,21880.17726,21499.64235,21335.4318,22204.1274,23140.38506,22062.33941,22585.60508,22017.41734,21732.50994,21203.76735,20765.15109
SWH,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111183.7422,109466.2792,107959.4145,106682.7082,105307.7122,103948.4576,102746.3196,101790.9603,100970.3645,100388.227,99777.34383,99250.2377,99624.18099,100077.9445,100328.974,100158.9842,99941.08401,99585.97415,99073.5101,98783.63677,98378.63548,97921.79378,97419.80983,96986.80254,96704.22474,96396.70094,96198.53149,95942.45462,95715.37286,95570.20181,95577.28938,95404.84815,95265.67894,95051.03199,94850.68676,94894.34365,94744.41005,94519.7254,94457.70828,94561.29502,94692.66101,94688.79025,94676.52231,94626.60324,94662.5408,94744.36402,94711.34174,94534.89539,94582.16006,94614.87599,94644.78373,94710.87309,94940.60075,95085.17517,95043.61551,95090.47114,95174.76935,95274.37048,95283.78446,95358.16751,95261.08622,95430.73258,95550.34329,95696.59573,95761.88451,96049.08901,96445.84993,96983.70175,97019.76266,97136.99869,97318.12623,97602.68862,97859.95665,97960.56045,98100.92694,98352.00654,98788.76605,98835.59794,99203.43659,99336.3309,99670.59017,99477.22531,99539.05036,98601.49145,97835.66591,97574.93927,97384.26271,97124.73524,96604.72679
HWH,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111829.4758,112464.6246,112241.2751,112035.517,111949.3206,112087.3324,112518.0569,112824.6673,113359.4276,113904.6533,114324.3769,115059.0912,115715.941,116745.3317,118111.2441,119676.569,120906.3883,122504.3932,123244.0436,124360.2356,125605.83,126083.1894,126561.7545,126943.2043,127709.4022,128189.8165,128905.7129,129360.8917,129639.8194,129748.9214,130052.2475,130193.3175,130573.8467,130731.1533,130697.876,131076.818,131667.1444,131239.1636,130891.3508,130469.2705,130395.9861,130614.394,130314.6,130031.3536,129964.8605,130150.8113,130110.351,129891.5206,130077.0629,129996.9009,129760.0837,129593.8025,129640.6021,129708.7619,129440.2465,129488.3541,129138.4248,129080.8858,128771.2237,128582.921,128136.0175,127831.27,128004.5761,127939.2256,127877.8407,127804.4629,128172.8493,127785.4036,127524.643,127010.2975,126503.5469,126340.6217,126149.9811,125980.146,125495.6689,125285.6041,125100.7525,124303.3176,123659.1645,123689.8695,123705.4697,123713.7916,123328.4198,123304.4016,123139.6552,123077.9663,122806.6752,122554.4263,122346.3848
MWH,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740509.6519,741694.8013,739389.2475,752110.9946,741738.8987,736249.151,735559.7347,731578.1917,729609.0649,726851.0413,723042.4721,722693.4788,719395.0565,718706.5882,720066.3491,720780.1205,718001.827,738662.4264,740257.9279,733142.0383,731357.8373,721107.3287,713822.0177,707193.5988,706619.7231,705086.4653,707903.6941,708858.1609,707496.3033,703782.9271,701400.2518,699100.193,716890.2786,709773.9846,703876.9742,703344.1608,704953.8242,694506.8249,684760.7392,676220.2562,672321.7859,670664.9759,665134.4273,659918.2806,656149.1073,654971.7364,650571.1061,647108.6389,661809.9268,669571.1633,657875.8892,650211.2597,646304.6736,643244.9409,636113.5038,631223.8214,626692.4081,622735.7888,620406.5109,618893.5023,615397.4293,613004.3116,613473.897,610800.8592,609454.8422,622196.4144,636272.9069,627176.4024,621421.3206,613711.7497,608369.9588,603971.1911,602612.2389,600054.3619,597282.2825,596294.5083,597003.4665,591936.7309,587328.7393,586628.5578,586989.6591,584874.963,583089.66,599128.6879,608545.6192,600621.029,599343.7967,593342.306,590891.786
FWH,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798008.0132,797538.469,795326.3497,805295.4229,797154.3429,792013.6604,789820.8466,784909.3471,781401.5444,776871.8197,771268.7108,767549.3709,763294.0957,760383.4786,758521.0119,756531.4687,752663.9545,764031.3871,764887.9362,753862.4808,745908.2385,733544.5818,722790.8105,712791.1601,706262.4554,701198.1777,701275.0047,700805.7162,699558.0647,697024.9323,696692.7971,696278.2879,709143.6953,705080.4355,701099.943,700244.9743,700433.2899,694855.0915,689719.4217,684719.2601,681986.1579,680063.6763,676192.1638,672133.7479,668630.0164,666722.5395,663186.5999,659810.7217,669353.9259,674792.4715,666219.3862,659830.4141,655704.0346,652250.4733,647117.3182,642931.4858,639334.6869,635966.8858,633476.6323,631462.2341,628383.6385,626020.5052,625035.1214,622297.0557,620123.257,628451.6636,637221.5305,630987.8414,626291.7559,620030.5059,615287.0456,611210.876,609042.556,606498.2911,604011.6275,602513.7886,602052.0664,598631.6764,595431.0023,593887.6455,592917.588,590616.1748,588755.211,598763.7035,604570.5827,599068.3023,597676.0344,593136.318,590889.9486
BES,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4829.894405,4890.439735,4978.799646,5041.101215,5085.65995,5113.410825,5155.675214,5182.699579,5204.150729,5213.776532,5221.980388,5234.936291,5236.358868,5255.850109,5284.5874,5311.026234,5328.540081,5331.209028,5330.569692,5346.530123,5350.013267,5275.871444,5259.527282,5259.898504,5251.527107,5244.974038,5280.852504,5301.29172,5279.839639,5273.081668,5239.581719,5233.034889,5221.255979,5200.275008,5184.207989,5188.717796,5209.62108,5183.85138,5175.725051,5160.786396,5174.2043,5187.013302,5189.514123,5159.103069,5145.505712,5142.838812,5141.931534,5125.023986,5136.439859,5123.776083,5113.463391,5094.390935,5094.321612,5101.073401,5077.640629,5055.149192,5020.566238,5031.58637,5031.587314,5022.709877,5014.142745,4971.848199,4964.450069,4951.609533,4962.290608,4961.350573,4994.966999,4998.728013,5005.372304,4999.082076,5003.714455,4994.518874,4996.668313,4986.905055,4972.712883,4987.001434,4979.010426,4966.412537,4953.732801,4924.476991,4928.788377,4938.359884,4919.779572,4916.343663,4910.968025,4907.77958,4921.234152,4922.433312,4923.110843
HAS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22758.19817,20822.0326,18990.76504,17435.51471,16085.46406,14924.24256,14057.10365,13218.82366,12518.37574,11931.99125,11428.8251,11088.92158,10723.4221,10531.32859,10413.73405,10337.03165,10250.91504,10125.77855,9948.130702,9915.042431,9855.748464,9639.118307,9537.870976,9371.112653,9357.601772,9319.073751,9060.339561,8887.93876,8786.579544,8657.326988,8492.865853,8396.653037,8332.218968,8242.386456,8139.513757,8118.6671,8160.133243,8061.631799,7985.228601,7905.912223,7898.718521,7917.527456,7837.2952,7745.979616,7693.266282,7684.546352,7585.642469,7560.656118,7555.607647,7519.468757,7443.390284,7378.757665,7350.855238,7303.350058,7212.467689,7159.359958,7095.958898,7048.081901,7040.49428,7034.696148,6986.629483,6933.546347,6975.484478,6944.226088,6942.443498,6903.093658,6978.657425,6954.454108,6972.989929,6959.929501,6944.697279,6912.236331,6931.881372,6902.19856,6862.366944,6868.268834,6884.048052,6821.703366,6777.396901,6780.029609,6806.96735,6791.370233,6752.832734,6735.558291,6680.419768,6694.78142,6722.608522,6702.837559,6711.251006
HOS,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88136.80321,85780.06578,85002.55086,84309.40874,84162.65437,83805.75229,83599.08957,83318.77712,82913.17664,82380.08288,81918.041,81398.67337,80783.38306,80220.88357,79798.92839,79374.87111,78925.1847,78403.38477,77868.53535,77418.52445,76867.53728,76539.45491,76177.29517,75889.05008,75512.87534,75166.81953,74745.61298,74457.76078,74154.76698,74048.62778,73821.28796,73734.0733,73535.91254,73251.46078,73105.09762,72992.35045,72929.34492,72714.96262,72719.33435,72586.63586,72479.02478,72337.78345,72251.00783,72081.55956,71793.49001,71705.85845,71619.20965,71243.75348,71046.93031,70657.4961,70245.39643,69825.0843,69622.56711,69496.36553,69218.07559,68996.71983,68799.09431,68745.76498,68646.61741,68564.15594,68448.7571,68132.84545,68037.68066,67890.66765,67788.84387,67697.61898,67675.20103,67498.68295,67361.66307,67179.91247,67183.22188,67102.65508,66970.11647,66820.8374,66617.38096,66644.07723,66629.65978,66595.85923,66540.42276,66364.07712,66401.61482,66475.32517,66425.89499,66375.13154,66378.28502,66276.8577,66402.064,66382.48942,66360.50391
RIS,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4696.912686,4697.554689,4701.617406,4701.748053,4707.115943,4705.584096,4719.413907,4734.568464,4743.547365,4743.116086,4741.823559,4736.996663,4724.540934,4718.931316,4727.770165,4738.826039,4747.543616,4746.481219,4740.610024,4742.179813,4737.107818,4702.384328,4680.204347,4668.858701,4654.47189,4641.477704,4647.951077,4652.501341,4637.781097,4633.256769,4615.349775,4610.563131,4603.661672,4585.159957,4572.530888,4567.417866,4576.012029,4562.854288,4558.991099,4549.469587,4550.670992,4559.520854,4569.100548,4559.422801,4541.687424,4537.326725,4539.184502,4523.967197,4527.944372,4519.006713,4505.577373,4485.322354,4477.067199,4478.108783,4459.478204,4437.92979,4412.885172,4410.343515,4405.201942,4398.166725,4393.118161,4366.489472,4355.063793,4341.372013,4342.10212,4341.236378,4357.945242,4368.7896,4377.269988,4372.398048,4375.470038,4378.632782,4378.896867,4374.199554,4363.96995,4372.048568,4369.551389,4362.404279,4358.569365,4336.542986,4326.569401,4326.639829,4316.480405,4312.459027,4313.431358,4307.737136,4314.402485,4312.515731,4311.196694
SBA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1563.722866,1556.458647,1549.267584,1541.290887,1528.918563,1519.202903,1517.143215,1507.645706,1501.465365,1495.147176,1486.927358,1488.092602,1482.567573,1484.539445,1491.796088,1499.853507,1502.477053,1498.957173,1488.070823,1489.163709,1489.510683,1471.827596,1462.888598,1447.339688,1445.767173,1444.644451,1425.922633,1408.358718,1395.047835,1377.726072,1354.921961,1335.797917,1320.122813,1302.262419,1282.265016,1271.036918,1268.699139,1252.775905,1237.200483,1221.704993,1215.828257,1216.248483,1208.781439,1198.615656,1194.696674,1195.921025,1189.476071,1189.232237,1193.524857,1194.997468,1190.628158,1185.094847,1183.025649,1179.762821,1170.475578,1163.196404,1155.13769,1148.844478,1146.574849,1144.930498,1139.280729,1132.241198,1134.012659,1129.008421,1127.046032,1120.664749,1127.054034,1124.657863,1126.586406,1124.877121,1122.569746,1118.738195,1120.402585,1118.955969,1116.193409,1117.672149,1120.928298,1116.317751,1111.467224,1112.006414,1114.841952,1113.980969,1109.528303,1105.90877,1097.653461,1095.718815,1097.477776,1094.608883,1094.659569
SBB,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16705.02911,16860.30567,17080.52782,17226.32514,17316.73059,17339.1859,17447.40605,17459.42768,17456.96429,17485.7335,17481.28737,17485.23464,17402.10041,17372.24937,17418.41181,17488.61219,17547.1563,17565.31258,17516.60467,17554.11399,17521.19749,17210.83137,16945.36009,16793.66832,16671.99819,16563.01677,16585.03574,16594.12712,16566.75616,16524.58126,16473.08016,16510.17727,16523.19617,16579.22397,16602.68742,16703.54745,16808.23074,16778.7931,16784.52779,16707.25909,16678.36575,16699.01634,16677.51783,16625.8158,16601.93653,16604.02828,16589.15318,16565.05298,16664.03087,16724.696,16758.49831,16732.84103,16761.5733,16782.02324,16716.92489,16538.62891,16329.83939,16196.11239,16120.49739,16032.59929,15937.54011,15835.97426,15835.87337,15779.85717,15832.9763,15897.49314,16041.02754,16099.80366,16150.34508,16113.23716,16127.30261,16166.17625,16254.74965,16294.79628,16321.06101,16308.81183,16286.08715,16215.84792,16172.64032,16123.86102,16149.77384,16160.73846,16146.41798,16220.79884,16219.34082,16229.49684,16302.1079,16374.18511,16453.58683
SHO,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.39303,23110.97495,22869.2556,22619.1534,22644.0731,22769.64315,22573.08182,22320.73765,22213.79394,22260.72495,22035.43989,22022.61486,22131.67348,22142.07263,21993.51892,21874.65551,21881.90101,21838.2293,21634.35235,21511.83597,21359.28965,21242.46837,21261.50043,21294.06057,21172.44056,20996.76226,21145.70827,21067.60869,21088.2081,20956.12768,21237.12917,21202.41625,21296.58201,21266.00225,21211.15834,21095.86183,21154.29532,21069.73588,20956.66153,20990.17188,21083.08958,20913.2383,20781.51432,20802.18558,20937.68401,20935.52813,20832.93835,20785.84259,20616.40661,20643.66099,20768.32087,20709.07428,20736.14573
SHO1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.39303,23110.97495,22869.2556,22619.1534,22644.0731,22769.64315,22573.08182,22320.73765,22213.79394,22260.72495,22035.43989,22022.61486,22131.67348,22142.07263,21993.51892,21874.65551,21881.90101,21838.2293,21634.35235,21511.83597,21359.28965,21242.46837,21261.50043,21294.06057,21172.44056,20996.76226,21145.70827,21067.60869,21088.2081,20956.12768,21237.12917,21202.41625,21296.58201,21266.00225,21211.15834,21095.86183,21154.29532,21069.73588,20956.66153,20990.17188,21083.08958,20913.2383,20781.51432,20802.18558,20937.68401,20935.52813,20832.93835,20785.84259,20616.40661,20643.66099,20768.32087,20709.07428,20736.14573
SHO2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.39303,23110.97495,22869.2556,22619.1534,22644.0731,22769.64315,22573.08182,22320.73765,22213.79394,22260.72495,22035.43989,22022.61486,22131.67348,22142.07263,21993.51892,21874.65551,21881.90101,21838.2293,21634.35235,21511.83597,21359.28965,21242.46837,21261.50043,21294.06057,21172.44056,20996.76226,21145.70827,21067.60869,21088.2081,20956.12768,21237.12917,21202.41625,21296.58201,21266.00225,21211.15834,21095.86183,21154.29532,21069.73588,20956.66153,20990.17188,21083.08958,20913.2383,20781.51432,20802.18558,20937.68401,20935.52813,20832.93835,20785.84259,20616.40661,20643.66099,20768.32087,20709.07428,20736.14573
DEO,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361817.384,1345947.012,1339624.698,1328934.877,1330587.391,1326817.212,1325587.868,1330498.332,1331451.103,1338928.597,1339770.99,1343288.135,1366115.209,1382330.497,1388769.907,1387981.665,1388538.107,1387035.568,1379091.987,1372242.918,1372883.238,1370645.467,1368662.148,1366688.492,1363003.599,1366071.414,1370808.5,1372593.107,1380625.027,1406939.936,1416008.216,1414440.774,1412333.266,1410253.389,1409340.782,1410341.952,1411796.062,1411880.86,1414019.592,1419226.035,1422959.484,1422704.91,1424754.63,1428095.602,1428942.734,1426371.991,1424579.338,1442956.947,1453270.902,1446252.685,1447195.827,1442551.259,1448922.465
DEO1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361817.384,1345947.012,1339624.698,1328934.877,1330587.391,1326817.212,1325587.868,1330498.332,1331451.103,1338928.597,1339770.99,1343288.135,1366115.209,1382330.497,1388769.907,1387981.665,1388538.107,1387035.568,1379091.987,1372242.918,1372883.238,1370645.467,1368662.148,1366688.492,1363003.599,1366071.414,1370808.5,1372593.107,1380625.027,1406939.936,1416008.216,1414440.774,1412333.266,1410253.389,1409340.782,1410341.952,1411796.062,1411880.86,1414019.592,1419226.035,1422959.484,1422704.91,1424754.63,1428095.602,1428942.734,1426371.991,1424579.338,1442956.947,1453270.902,1446252.685,1447195.827,1442551.259,1448922.465
